"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"d:\Projects\obsidian_frontend\src\App.vue", "Vue", 48, 0, 0, 4, 52
"d:\Projects\obsidian_frontend\src\components\AsideMenu.vue", "Vue", 112, 0, 53, 13, 178
"d:\Projects\obsidian_frontend\src\components\AuthPopupButton.vue", "Vue", 183, 0, 0, 3, 186
"d:\Projects\obsidian_frontend\src\components\ChangelogCard.vue", "Vue", 77, 0, 0, 3, 80
"d:\Projects\obsidian_frontend\src\components\ChangelogDrawer.vue", "Vue", 94, 0, 0, 4, 98
"d:\Projects\obsidian_frontend\src\components\CommentCard.vue", "Vue", 103, 0, 5, 3, 111
"d:\Projects\obsidian_frontend\src\components\CommentCreateWindow.vue", "Vue", 61, 0, 0, 2, 63
"d:\Projects\obsidian_frontend\src\components\CommentDrawer.vue", "Vue", 107, 0, 1, 2, 110
"d:\Projects\obsidian_frontend\src\components\CreateCommentPopup.vue", "Vue", 66, 0, 0, 3, 69
"d:\Projects\obsidian_frontend\src\components\DocEditor.vue", "Vue", 192, 0, 0, 3, 195
"d:\Projects\obsidian_frontend\src\components\DocumentCard.vue", "Vue", 213, 0, 5, 17, 235
"d:\Projects\obsidian_frontend\src\components\DocumentCardforGroupTrash.vue", "Vue", 124, 0, 0, 22, 146
"d:\Projects\obsidian_frontend\src\components\DocumentSorter.vue", "Vue", 82, 0, 0, 5, 87
"d:\Projects\obsidian_frontend\src\components\GroupInit.vue", "Vue", 240, 0, 1, 39, 280
"d:\Projects\obsidian_frontend\src\components\GroupManage.vue", "Vue", 487, 0, 10, 96, 593
"d:\Projects\obsidian_frontend\src\components\MemberCard.vue", "Vue", 151, 0, 11, 34, 196
"d:\Projects\obsidian_frontend\src\components\MenuBar.vue", "Vue", 146, 0, 3, 12, 161
"d:\Projects\obsidian_frontend\src\components\NewDocPopupButton.vue", "Vue", 243, 0, 1, 3, 247
"d:\Projects\obsidian_frontend\src\components\NoticeBox.vue", "Vue", 79, 0, 0, 7, 86
"d:\Projects\obsidian_frontend\src\components\NoticeCard.vue", "Vue", 57, 0, 0, 8, 65
"d:\Projects\obsidian_frontend\src\components\ResultCard.vue", "Vue", 230, 0, 5, 17, 252
"d:\Projects\obsidian_frontend\src\components\ResultCardforTrash.vue", "Vue", 123, 0, 1, 22, 146
"d:\Projects\obsidian_frontend\src\components\SearchResult.vue", "Vue", 60, 0, 5, 8, 73
"d:\Projects\obsidian_frontend\src\config.js", "JavaScript", 0, 10, 0, 1, 11
"d:\Projects\obsidian_frontend\src\main.js", "JavaScript", 0, 41, 21, 7, 69
"d:\Projects\obsidian_frontend\src\router\index.js", "JavaScript", 0, 119, 0, 8, 127
"d:\Projects\obsidian_frontend\src\utils\axiosUtils.js", "JavaScript", 0, 28, 0, 1, 29
"d:\Projects\obsidian_frontend\src\utils\encryptUtils.js", "JavaScript", 0, 28, 0, 4, 32
"d:\Projects\obsidian_frontend\src\utils\noticeUtil.js", "JavaScript", 0, 87, 0, 9, 96
"d:\Projects\obsidian_frontend\src\views\AvatarTest.vue", "Vue", 44, 0, 0, 5, 49
"d:\Projects\obsidian_frontend\src\views\Collections.vue", "Vue", 136, 0, 0, 12, 148
"d:\Projects\obsidian_frontend\src\views\DocumentView.vue", "Vue", 290, 0, 1, 5, 296
"d:\Projects\obsidian_frontend\src\views\History.vue", "Vue", 130, 0, 0, 12, 142
"d:\Projects\obsidian_frontend\src\views\Login.vue", "Vue", 237, 0, 7, 10, 254
"d:\Projects\obsidian_frontend\src\views\TeamSpace.vue", "Vue", 277, 0, 4, 48, 329
"d:\Projects\obsidian_frontend\src\views\Test.vue", "Vue", 17, 0, 0, 5, 22
"d:\Projects\obsidian_frontend\src\views\TrashCan.vue", "Vue", 155, 0, 0, 12, 167
"d:\Projects\obsidian_frontend\src\views\UserCenter.vue", "Vue", 302, 0, 4, 7, 313
"d:\Projects\obsidian_frontend\src\views\UserInfo.vue", "Vue", 127, 0, 0, 8, 135
"d:\Projects\obsidian_frontend\src\views\WorkingSpace.vue", "Vue", 133, 0, 0, 8, 141
"d:\Projects\obsidian_frontend\src\vuex\store.js", "JavaScript", 0, 38, 0, 4, 42
"Total", "-", 5126, 351, 138, 496, 6111